බ්‍රහ‍්මජාල|dn-1-1
සාමඤ‍්ඤඵල|dn-1-2
අම‍්බට‍්ඨ|dn-1-3
සෝණදණ‍්ඩ|dn-1-4
කූටදන‍්ත|dn-1-5
මහාලි|dn-1-6
ජාලිය|dn-1-7
සීහනාද|dn-1-8
පොට‍්ඨපාද|dn-1-9
සුභ|dn-1-10
කේවට්ට|dn-1-11
ලෝහිච්ච|dn-1-12
තෙවිජ‍්ජ|dn-1-13
මහාපදාන|dn-2-1
මහානිදාන|dn-2-2
පරිනිබ‍්බාන|dn-2-3
මහාසුදස‍්සන|dn-2-4
ජනවසභ|dn-2-5
මහාගොවින්‍ද|dn-2-6
මහාසමය|dn-2-7
සක‍්කපඤ‍|dn-2-8
මහා සතිපට‍්ඨාන|dn-2-9
පායාසි|dn-2-10
පාථික|dn-3-1
උදුම්බරික|dn-3-2
චක්කවත්ති|dn-3-3
අග්ගඤ‍්ඤ|dn-3-4
සම්පසාදනිය|dn-3-5
පාසාදික|dn-3-6
ලක්ඛණ|dn-3-7
සිගාල|dn-3-8
ආටානාටිය|dn-3-9
සංගීති|dn-3-10
දසුත්තර|dn-3-11
මූලපරියාය|mn-1-1-1
සබ්බාසව|mn-1-1-2
ධම්මදායාද|mn-1-1-3
භයභෙරව|mn-1-1-4
අනංගන|mn-1-1-5
ආකංඛෙයිය|mn-1-1-6
වත්තූපම|mn-1-1-7
සල්ලේක|mn-1-1-8
සම්මාදිට්ටි|mn-1-1-9
සතිපට්ඨාන|mn-1-1-10
චූළසීහනාද|mn-1-2-1
මහා සීහනාද|mn-1-2-2
මහාදුක්කක්කන්ධ|mn-1-2-3
චූලදුක්කක්කන්ධ|mn-1-2-4
අනුමාන|mn-1-2-5
චේතෝකිල|mn-1-2-6
වනපත්ථ|mn-1-2-7
මධුපින්ඩික|mn-1-2-8
ද්වේදාවිතක්ක|mn-1-2-9
විතක්කසන්ඨාන|mn-1-2-10
කකචූපම|mn-1-3-1
අලගද්දූපම|mn-1-3-2
වම‍්මික|mn-1-3-3
රථවිනීත|mn-1-3-4
නිවාප|mn-1-3-5
අරියපරියේසන|mn-1-3-6
චූළ හත්තිපදෝපම|mn-1-3-7
මහා හත්තිපදෝපම|mn-1-3-8
මහා සාරෝපම|mn-1-3-9
චූල සාරෝපම|mn-1-3-10
චූළගෝසිංග|mn-1-4-1
මහාගෝසිංග|mn-1-4-2
මහාගෝපාලක|mn-1-4-3
චූලගෝපාලක|mn-1-4-4
චූලසච්චක|mn-1-4-5
මහාසච්චක|mn-1-4-6
චූලතන්හාසංකය|mn-1-4-7
මහාතන්හාසංකය|mn-1-4-8
මහාඅස්සපුර|mn-1-4-9
චූලඅස්සපුර|mn-1-4-10
සාලෙය්‍යක|mn-1-5-1
වෙරඤ‍්ජක|mn-1-5-2
මහාවෙදල්ල|mn-1-5-3
චූලවෙදල්ල|mn-1-5-4
චූළධම්මසමාදාන|mn-1-5-5
මහාධම්මසමාදාන|mn-1-5-6
වීමංසක|mn-1-5-7
කෝසම්බිය|mn-1-5-8
බ්‍රහ්මනිමන්තනික|mn-1-5-9
මාරතජ්ජනිය|mn-1-5-10
කන්දරක|mn-2-1-1
අට්ඨකනාගර|mn-2-1-2
සේක|mn-2-1-3
පෝතලිය|mn-2-1-4
ජීවක|mn-2-1-5
උපාලි|mn-2-1-6
කුක්කුරවතිය|mn-2-1-7
අභයරාජකුමාර|mn-2-1-8
බහුවේදනිය|mn-2-1-9
අපන්නක|mn-2-1-10
රාහුලෝවාදය|mn-2-2-1
රාහුලෝවාදය|mn-2-2-2
